Timestamp,Data
2023-07-26 10:50:31.515633,| angle_pitch = 10.60 | angle_roll = 8.99
2023-07-26 10:50:31.519636,| angle_pitch = 10.54 | angle_roll = 9.04
2023-07-26 10:50:31.523286,| angle_pitch = 10.74 | angle_roll = 8.98
2023-07-26 10:50:31.527810,| angle_pitch = 10.43 | angle_roll = 9.09
2023-07-26 10:50:31.531798,| angle_pitch = 10.42 | angle_roll = 9.07
2023-07-26 10:50:31.535850,| angle_pitch = 10.35 | angle_roll = 8.77
2023-07-26 10:50:31.539871,| angle_pitch = 10.68 | angle_roll = 8.97
2023-07-26 10:50:31.544472,| angle_pitch = 10.75 | angle_roll = 8.94
2023-07-26 10:50:31.548446,| angle_pitch = 10.66 | angle_roll = 8.85
2023-07-26 10:50:31.552442,| angle_pitch = 10.41 | angle_roll = 9.06
2023-07-26 10:50:31.556478,| angle_pitch = 10.39 | angle_roll = 9.29
2023-07-26 10:50:31.560474,| angle_pitch = 10.54 | angle_roll = 8.94
2023-07-26 10:50:31.563981,| angle_pitch = 10.55 | angle_roll = 8.83
2023-07-26 10:50:31.568001,| angle_pitch = 10.55 | angle_roll = 8.67
2023-07-26 10:50:31.572002,| angle_pitch = 10.56 | angle_roll = 9.14
2023-07-26 10:50:31.576772,| angle_pitch = 10.65 | angle_roll = 9.18
2023-07-26 10:50:31.580690,| angle_pitch = 10.27 | angle_roll = 9.17
2023-07-26 10:50:31.584938,| angle_pitch = 10.37 | angle_roll = 9.00
2023-07-26 10:50:31.588948,| angle_pitch = 10.57 | angle_roll = 9.10
2023-07-26 10:50:31.591988,| angle_pitch = 10.47 | angle_roll = 9.07
2023-07-26 10:50:31.597051,| angle_pitch = 10.54 | angle_roll = 9.05
2023-07-26 10:50:31.601053,| angle_pitch = 10.51 | angle_roll = 9.31
2023-07-26 10:50:31.604594,| angle_pitch = 10.72 | angle_roll = 8.94
2023-07-26 10:50:31.609022,| angle_pitch = 10.49 | angle_roll = 8.92
2023-07-26 10:50:31.613547,| angle_pitch = 10.24 | angle_roll = 9.11
2023-07-26 10:50:31.616879,| angle_pitch = 10.55 | angle_roll = 9.45
2023-07-26 10:50:31.621876,| angle_pitch = 10.46 | angle_roll = 9.10
2023-07-26 10:50:31.621876,| angle_pitch = 10.45 | angle_roll = 8.98
2023-07-26 10:50:31.625475,| angle_pitch = 10.59 | angle_roll = 8.78
2023-07-26 10:50:31.630483,| angle_pitch = 10.64 | angle_roll = 9.19
2023-07-26 10:50:31.634728,| angle_pitch = 10.88 | angle_roll = 9.11
2023-07-26 10:50:31.638580,| angle_pitch = 10.25 | angle_roll = 9.12
2023-07-26 10:50:31.641581,| angle_pitch = 10.61 | angle_roll = 9.14
2023-07-26 10:50:31.646642,| angle_pitch = 10.52 | angle_roll = 8.92
2023-07-26 10:50:31.650646,| angle_pitch = 10.63 | angle_roll = 9.20
2023-07-26 10:50:31.654747,| angle_pitch = 10.93 | angle_roll = 9.03
2023-07-26 10:50:31.658753,| angle_pitch = 10.40 | angle_roll = 9.22
2023-07-26 10:50:31.663293,| angle_pitch = 10.71 | angle_roll = 9.02
2023-07-26 10:50:31.666857,| angle_pitch = 10.34 | angle_roll = 8.88
2023-07-26 10:50:31.670859,| angle_pitch = 10.64 | angle_roll = 9.31
2023-07-26 10:50:31.674436,| angle_pitch = 10.61 | angle_roll = 9.16
2023-07-26 10:50:31.678848,| angle_pitch = 10.53 | angle_roll = 9.07
2023-07-26 10:50:31.683380,| angle_pitch = 10.38 | angle_roll = 9.10
2023-07-26 10:50:31.686929,| angle_pitch = 10.71 | angle_roll = 9.19
2023-07-26 10:50:31.691911,| angle_pitch = 10.40 | angle_roll = 8.98
2023-07-26 10:50:31.695948,| angle_pitch = 10.77 | angle_roll = 9.08
2023-07-26 10:50:31.699954,| angle_pitch = 10.37 | angle_roll = 9.29
2023-07-26 10:50:31.703315,| angle_pitch = 10.58 | angle_roll = 9.34
2023-07-26 10:50:31.707864,| angle_pitch = 10.74 | angle_roll = 9.10
2023-07-26 10:50:31.711870,| angle_pitch = 10.66 | angle_roll = 9.27
2023-07-26 10:50:31.715581,| angle_pitch = 10.36 | angle_roll = 9.44
2023-07-26 10:50:31.719586,| angle_pitch = 10.43 | angle_roll = 8.94
2023-07-26 10:50:31.723088,| angle_pitch = 10.25 | angle_roll = 8.98
2023-07-26 10:50:31.727680,| angle_pitch = 10.64 | angle_roll = 8.85
2023-07-26 10:50:31.731733,| angle_pitch = 10.37 | angle_roll = 9.19
2023-07-26 10:50:31.736794,| angle_pitch = 10.69 | angle_roll = 8.92
2023-07-26 10:50:31.740792,| angle_pitch = 10.68 | angle_roll = 8.95
2023-07-26 10:50:31.744475,| angle_pitch = 10.31 | angle_roll = 9.03
2023-07-26 10:50:31.748500,| angle_pitch = 10.65 | angle_roll = 9.44
2023-07-26 10:50:31.752500,| angle_pitch = 10.28 | angle_roll = 8.84
2023-07-26 10:50:31.756671,| angle_pitch = 10.44 | angle_roll = 9.23
2023-07-26 10:50:31.760672,| angle_pitch = 10.31 | angle_roll = 9.22
2023-07-26 10:50:31.764847,| angle_pitch = 10.68 | angle_roll = 9.10
2023-07-26 10:50:31.768739,| angle_pitch = 10.71 | angle_roll = 9.02
2023-07-26 10:50:31.773461,| angle_pitch = 10.80 | angle_roll = 9.09
2023-07-26 10:50:31.777477,| angle_pitch = 10.60 | angle_roll = 9.39
2023-07-26 10:50:31.781582,| angle_pitch = 10.46 | angle_roll = 9.19
2023-07-26 10:50:31.785635,| angle_pitch = 10.66 | angle_roll = 8.95
2023-07-26 10:50:31.789639,| angle_pitch = 10.45 | angle_roll = 8.99
2023-07-26 10:50:31.793189,| angle_pitch = 10.62 | angle_roll = 9.25
2023-07-26 10:50:31.797767,| angle_pitch = 10.42 | angle_roll = 9.09
2023-07-26 10:50:31.800758,| angle_pitch = 10.63 | angle_roll = 9.10
2023-07-26 10:50:31.805812,| angle_pitch = 10.77 | angle_roll = 9.13
2023-07-26 10:50:31.809895,| angle_pitch = 10.36 | angle_roll = 9.37
2023-07-26 10:50:31.813501,| angle_pitch = 10.65 | angle_roll = 9.28
2023-07-26 10:50:31.815519,| angle_pitch = 10.46 | angle_roll = 9.15
2023-07-26 10:50:31.818523,| angle_pitch = 10.31 | angle_roll = 8.93
2023-07-26 10:50:31.822524,| angle_pitch = 10.34 | angle_roll = 9.17
2023-07-26 10:50:31.826685,| angle_pitch = 10.20 | angle_roll = 8.97
2023-07-26 10:50:31.830740,| angle_pitch = 10.56 | angle_roll = 9.05
2023-07-26 10:50:31.834940,| angle_pitch = 10.40 | angle_roll = 9.24
2023-07-26 10:50:31.838947,| angle_pitch = 10.42 | angle_roll = 9.03
2023-07-26 10:50:31.843553,| angle_pitch = 10.58 | angle_roll = 8.94
2023-07-26 10:50:31.847115,| angle_pitch = 10.56 | angle_roll = 9.16
2023-07-26 10:50:31.851084,| angle_pitch = 10.65 | angle_roll = 8.98
2023-07-26 10:50:31.855122,| angle_pitch = 10.52 | angle_roll = 9.19
2023-07-26 10:50:31.859226,| angle_pitch = 10.44 | angle_roll = 8.81
2023-07-26 10:50:31.863635,| angle_pitch = 10.48 | angle_roll = 9.22
2023-07-26 10:50:31.867652,| angle_pitch = 10.48 | angle_roll = 9.33
2023-07-26 10:50:31.871654,| angle_pitch = 10.68 | angle_roll = 9.13
2023-07-26 10:50:31.875719,| angle_pitch = 10.54 | angle_roll = 9.07
2023-07-26 10:50:31.879720,| angle_pitch = 10.34 | angle_roll = 8.92
2023-07-26 10:50:31.883229,| angle_pitch = 10.35 | angle_roll = 9.21
2023-07-26 10:50:31.887869,| angle_pitch = 10.53 | angle_roll = 8.98
2023-07-26 10:50:31.891907,| angle_pitch = 10.54 | angle_roll = 9.16
2023-07-26 10:50:31.896688,| angle_pitch = 10.51 | angle_roll = 9.10
2023-07-26 10:50:31.900687,| angle_pitch = 10.58 | angle_roll = 9.18
2023-07-26 10:50:31.904933,| angle_pitch = 10.65 | angle_roll = 8.95
2023-07-26 10:50:31.908854,| angle_pitch = 10.43 | angle_roll = 8.89
2023-07-26 10:50:31.911868,| angle_pitch = 10.66 | angle_roll = 8.95
2023-07-26 10:50:31.916431,| angle_pitch = 10.59 | angle_roll = 9.32
2023-07-26 10:50:31.920436,| angle_pitch = 10.27 | angle_roll = 9.03
2023-07-26 10:50:31.924908,| angle_pitch = 10.71 | angle_roll = 9.22
2023-07-26 10:50:31.928821,| angle_pitch = 10.45 | angle_roll = 8.95
2023-07-26 10:50:31.933359,| angle_pitch = 10.76 | angle_roll = 8.88
2023-07-26 10:50:31.937420,| angle_pitch = 10.86 | angle_roll = 9.12
2023-07-26 10:50:31.941414,| angle_pitch = 10.41 | angle_roll = 9.19
2023-07-26 10:50:31.945606,| angle_pitch = 10.40 | angle_roll = 9.04
2023-07-26 10:50:31.949607,| angle_pitch = 10.71 | angle_roll = 8.97
2023-07-26 10:50:31.953188,| angle_pitch = 10.66 | angle_roll = 8.97
2023-07-26 10:50:31.957702,| angle_pitch = 10.43 | angle_roll = 8.94
2023-07-26 10:50:31.961705,| angle_pitch = 10.69 | angle_roll = 8.99
2023-07-26 10:50:31.965842,| angle_pitch = 10.41 | angle_roll = 9.08
2023-07-26 10:50:31.969944,| angle_pitch = 10.56 | angle_roll = 9.07
2023-07-26 10:50:31.973464,| angle_pitch = 10.60 | angle_roll = 9.29
2023-07-26 10:50:31.977495,| angle_pitch = 10.54 | angle_roll = 8.86
2023-07-26 10:50:31.982479,| angle_pitch = 10.44 | angle_roll = 9.27
2023-07-26 10:50:31.985585,| angle_pitch = 10.69 | angle_roll = 9.06
2023-07-26 10:50:31.990584,| angle_pitch = 10.58 | angle_roll = 9.19
2023-07-26 10:50:31.994855,| angle_pitch = 10.57 | angle_roll = 8.95
2023-07-26 10:50:31.998863,| angle_pitch = 10.37 | angle_roll = 9.25
2023-07-26 10:50:32.002377,| angle_pitch = 10.57 | angle_roll = 9.16
2023-07-26 10:50:32.005932,| angle_pitch = 10.39 | angle_roll = 8.97
2023-07-26 10:50:32.010948,| angle_pitch = 10.74 | angle_roll = 9.00
2023-07-26 10:50:32.011945,| angle_pitch = 10.63 | angle_roll = 8.96
2023-07-26 10:50:32.014982,| angle_pitch = 10.45 | angle_roll = 9.07
2023-07-26 10:50:32.018999,| angle_pitch = 10.71 | angle_roll = 8.92
2023-07-26 10:50:32.023510,| angle_pitch = 10.70 | angle_roll = 9.15
2023-07-26 10:50:32.028080,| angle_pitch = 10.55 | angle_roll = 9.03
2023-07-26 10:50:32.032057,| angle_pitch = 10.74 | angle_roll = 9.11
2023-07-26 10:50:32.036098,| angle_pitch = 10.52 | angle_roll = 8.96
2023-07-26 10:50:32.040109,| angle_pitch = 10.73 | angle_roll = 8.81
2023-07-26 10:50:32.043621,| angle_pitch = 10.56 | angle_roll = 9.17
2023-07-26 10:50:32.048655,| angle_pitch = 10.59 | angle_roll = 8.78
2023-07-26 10:50:32.051661,| angle_pitch = 10.48 | angle_roll = 8.71
2023-07-26 10:50:32.055724,| angle_pitch = 10.73 | angle_roll = 9.23
2023-07-26 10:50:32.060746,| angle_pitch = 10.55 | angle_roll = 9.38
2023-07-26 10:50:32.063243,| angle_pitch = 10.58 | angle_roll = 9.11
2023-07-26 10:50:32.068808,| angle_pitch = 10.34 | angle_roll = 9.02
2023-07-26 10:50:32.071808,| angle_pitch = 10.39 | angle_roll = 8.93
2023-07-26 10:50:32.076861,| angle_pitch = 10.63 | angle_roll = 9.00
2023-07-26 10:50:32.080901,| angle_pitch = 10.49 | angle_roll = 8.93
2023-07-26 10:50:32.084985,| angle_pitch = 10.55 | angle_roll = 8.85
2023-07-26 10:50:32.088995,| angle_pitch = 10.60 | angle_roll = 9.17
2023-07-26 10:50:32.093510,| angle_pitch = 10.37 | angle_roll = 8.66
2023-07-26 10:50:32.097049,| angle_pitch = 10.44 | angle_roll = 9.13
2023-07-26 10:50:32.101046,| angle_pitch = 10.45 | angle_roll = 9.23
2023-07-26 10:50:32.104835,| angle_pitch = 10.53 | angle_roll = 9.21
2023-07-26 10:50:32.108728,| angle_pitch = 10.54 | angle_roll = 8.94
2023-07-26 10:50:32.113536,| angle_pitch = 10.61 | angle_roll = 9.14
2023-07-26 10:50:32.116866,| angle_pitch = 10.38 | angle_roll = 8.99
2023-07-26 10:50:32.120889,| angle_pitch = 10.63 | angle_roll = 9.20
2023-07-26 10:50:32.125480,| angle_pitch = 10.57 | angle_roll = 8.82
2023-07-26 10:50:32.129477,| angle_pitch = 10.48 | angle_roll = 9.17
2023-07-26 10:50:32.133494,| angle_pitch = 10.52 | angle_roll = 9.15
