Timestamp,Data
2023-08-02 16:15:08.452457,1AcX	AcY	AcZ	GyX	GyY	GyZ
2023-08-02 16:15:15.515391,-1152	-538	3627	543	-594	1012
2023-08-02 16:15:15.544393,-1124	-553	3864	442	88	697
2023-08-02 16:15:15.576915,-2399	-607	6380	-132	765	346
2023-08-02 16:15:15.605916,-1315	-415	4474	-285	570	-144
2023-08-02 16:15:15.638914,-797	-520	4940	-245	-187	-469
2023-08-02 16:15:15.671451,-370	-690	4480	-280	-423	-450
2023-08-02 16:15:16.846926,148	-345	3831	34	AcX	AcY	AcZ	GyX	GyY	GyZ
2023-08-02 16:15:16.874727,111	-62	4784	-179	6	-70
2023-08-02 16:15:16.899732,128	-63	4783	-179	9	-77
2023-08-02 16:15:16.928734,242	-87	4868	-140	14	-89
2023-08-02 16:15:16.956642,1411	55	4705	-351	-128	17
2023-08-02 16:15:16.985949,1375	-30	4724	-173	-146	376
2023-08-02 16:15:17.013954,1258	-62	4846	-172	-63	249
2023-08-02 16:15:17.042950,1291	-26	4629	-324	29	178
2023-08-02 16:15:17.071958,1297	-23	4729	-249	-49	158
2023-08-02 16:15:17.100411,1120	-8	4784	-484	136	292
2023-08-02 16:15:17.129410,979	-43	5203	-176	160	235
2023-08-02 16:15:17.153412,969	-116	4922	16	215	311
2023-08-02 16:15:17.181964,909	-114	4857	-13	250	153
2023-08-02 16:15:17.206929,982	-141	4970	75	315	23
2023-08-02 16:15:17.235929,820	-20	4758	16	213	-14
2023-08-02 16:15:17.263944,744	-124	5196	-105	-49	293
2023-08-02 16:15:17.292475,801	120	4595	-306	-415	585
2023-08-02 16:15:17.325475,824	-277	4460	-311	-313	1103
2023-08-02 16:15:17.354453,-108	-612	4408	-434	43	1617
2023-08-02 16:15:17.383379,-859	-432	5693	-452	584	1945
2023-08-02 16:15:17.415377,-1357	-283	5095	-89	343	2560
2023-08-02 16:15:17.444454,-1405	207	4933	-277	43	2586
2023-08-02 16:15:17.476951,-1645	96	4860	-227	58	2909
2023-08-02 16:15:17.505927,-1686	141	4996	-41	219	3067
2023-08-02 16:15:17.534929,-1611	-66	4527	552	801	3156
2023-08-02 16:15:17.566978,-2141	-10	4813	1237	1557	3228
2023-08-02 16:15:17.600459,-1984	280	5107	1250	2304	3054
2023-08-02 16:15:17.632458,-1699	204	4514	-338	471	3479
2023-08-02 16:15:17.665550,-1679	260	4824	-1964	-1177	3435
2023-08-02 16:15:17.698272,-1484	339	4683	-944	-721	2717
