Timestamp,Data
2023-08-01 11:58:52.826951,8-58
2023-08-01 11:58:58.368836,-711	2281	513	-160	-832	-46
2023-08-01 11:58:58.397119,-1103	3430	597	-51	-719	-10
2023-08-01 11:58:58.425932,-802	1967	422	-79	-773	-92
2023-08-01 11:58:58.459384,-692	1335	447	-231	-797	-124
2023-08-01 11:58:58.487487,-583	2568	593	-355	-896	19
2023-08-01 11:58:58.515787,-614	1852	610	-143	-799	-45
2023-08-01 11:58:58.547899,-1249	1822	499	-159	-687	36
2023-08-01 11:58:58.577191,-1525	2398	549	-96	-653	-79
2023-08-01 11:58:58.605953,-837	2339	606	-126	-661	-91
2023-08-01 11:58:58.639021,-1204	1353	464	-274	-711	-124
2023-08-01 11:58:58.671889,-948	1154	471	-251	-707	-44
2023-08-01 11:58:58.699668,-1358	2215	500	-294	-623	-38
2023-08-01 11:58:58.732770,-926	1952	563	-129	-590	-24
2023-08-01 11:58:58.761743,-678	1584	502	-48	-470	-95
2023-08-01 11:58:58.790662,-671	2089	421	-136	-576	-111
2023-08-01 11:58:58.823286,-1149	1998	538	-290	-500	-48
2023-08-01 11:58:58.851708,-406	1692	639	-318	-532	40
2023-08-01 11:58:58.879468,-293	1736	558	-129	-478	29
2023-08-01 11:58:58.913558,-1494	2534	539	-123	-406	-25
2023-08-01 11:58:58.941795,-851	2167	583	-48	-376	-49
2023-08-01 11:58:58.970725,-559	1652	566	-128	-388	-36
2023-08-01 11:58:59.003716,-632	1100	456	-293	-446	-72
2023-08-01 11:58:59.032067,-531	892	505	-262	-378	-4
2023-08-01 11:58:59.060633,-487	1027	460	-151	-247	-2
2023-08-01 11:58:59.089596,-673	1630	574	-171	-268	-20
2023-08-01 11:58:59.117798,-889	1621	523	-55	-212	-51
2023-08-01 11:58:59.150860,-663	1667	532	-101	-238	-78
2023-08-01 11:58:59.179519,-785	1720	473	-313	-249	-116
2023-08-01 11:58:59.211749,-402	1744	519	-265	-240	-65
2023-08-01 11:58:59.241088,-684	2283	646	-159	-143	-121
2023-08-01 11:58:59.273246,-1282	1865	565	-138	-71	-50
2023-08-01 11:58:59.297584,-675	1250	481	-65	-85	-87
2023-08-01 11:58:59.330909,-671	2101	512	-193	-103	-102
2023-08-01 11:58:59.359456,-427	1865	368	-265	-39	-124
2023-08-01 11:58:59.392818,-1020	1900	587	-284	-200	39
2023-08-01 11:58:59.421259,-860	1957	537	-160	12	-44
2023-08-01 11:58:59.445213,-594	2533	610	-116	45	-44
2023-08-01 11:58:59.474654,-641	1600	557	-90	80	-51
2023-08-01 11:58:59.503095,-1009	3026	510	-170	64	-91
2023-08-01 11:58:59.531685,-917	2539	559	-206	92	-45
2023-08-01 11:58:59.560451,-1100	2645	496	-279	138	-17
2023-08-01 11:58:59.593034,-630	1907	496	-202	171	-15
2023-08-01 11:58:59.617620,-303	1367	465	-71	97	-37
2023-08-01 11:58:59.645919,-940	1946	594	-42	215	-72
2023-08-01 11:58:59.675295,-1082	2652	494	-97	229	-163
2023-08-01 11:58:59.707996,-664	2071	480	-329	174	-124
2023-08-01 11:58:59.736285,-860	1973	546	-318	124	-59
2023-08-01 11:58:59.765920,-1100	2185	526	-120	173	11
2023-08-01 11:58:59.793977,-777	2195	530	-107	321	-118
2023-08-01 11:58:59.826357,-371	1422	588	-108	260	-23
2023-08-01 11:58:59.855124,-745	1907	535	-128	351	-41
2023-08-01 11:58:59.884141,-222	3187	482	-171	194	-49
2023-08-01 11:58:59.908228,-1	3673	584	-345	272	-26
2023-08-01 11:58:59.940965,-740	2041	568	-191	310	-100
2023-08-01 11:58:59.969553,-303	3101	577	-35	361	-82
2023-08-01 11:58:59.997987,-1478	4630	496	-90	413	-89
2023-08-01 11:59:00.027331,-824	3034	577	-161	369	-80
2023-08-01 11:59:00.056177,-716	2871	609	-181	333	-6
2023-08-01 11:59:00.080718,-496	4409	526	-277	353	7
2023-08-01 11:59:00.109202,-584	3276	599	-246	298	24
2023-08-01 11:59:00.137842,-1072	2743	701	-70	405	27
2023-08-01 11:59:00.166536,-924	1587	537	-79	452	-71
2023-08-01 11:59:00.194868,-966	2484	552	-146	462	-85
2023-08-01 11:59:00.223660,-1225	3218	567	-184	448	-82
2023-08-01 11:59:00.252213,-1197	2499	431	-263	345	0
2023-08-01 11:59:00.281859,-689	2617	430	-286	423	-19
2023-08-01 11:59:00.313839,-304	1678	618	-122	426	-97
2023-08-01 11:59:00.342942,-966	1545	554	-129	425	-73
2023-08-01 11:59:00.371148,-897	1568	493	-32	541	-112
2023-08-01 11:59:00.399342,-873	1126	484	-104	470	-57
2023-08-01 11:59:00.428142,-1500	1884	467	-314	303	-79
2023-08-01 11:59:00.457676,-922	2372	640	-276	488	-70
2023-08-01 11:59:00.486256,-965	1505	439	-74	444	41
2023-08-01 11:59:00.514796,-982	1326	485	29	361	-60
2023-08-01 11:59:00.539778,-644	1144	552	-41	535	-14
2023-08-01 11:59:00.572208,-498	1163	439	-228	565	-74
2023-08-01 11:59:00.600983,-1045	1405	491	-220	333	-59
2023-08-01 11:59:00.629161,-1218	2574	433	-241	554	27
2023-08-01 11:59:00.657949,-906	2166	355	-211	405	21
2023-08-01 11:59:00.686794,-554	1197	578	-150	437	-33
2023-08-01 11:59:00.715749,-723	1464	576	61	463	-65
2023-08-01 11:59:00.743920,-1841	2051	488	-79	472	-174
2023-08-01 11:59:00.772839,-1502	2073	411	-340	418	-81
2023-08-01 11:59:00.805809,-757	3460	572	-311	358	-15
2023-08-01 11:59:00.829151,-801	1902	554	-98	474	-36
2023-08-01 11:59:00.862978,-932	2897	535	-106	352	-72
2023-08-01 11:59:00.890659,-1713	2322	577	-13	566	-142
2023-08-01 11:59:00.919403,-2443	2207	430	-158	369	-125
2023-08-01 11:59:00.953041,-1942	2531	474	-255	405	-96
2023-08-01 11:59:00.981674,-1676	2643	595	-243	389	-47
2023-08-01 11:59:01.014665,-2026	1848	582	-185	386	-97
2023-08-01 11:59:01.042512,-1066	1835	476	-30	403	-95
2023-08-01 11:59:01.067424,-616	781	511	-81	428	-92
2023-08-01 11:59:01.095907,-518	880	383	-178	329	-111
2023-08-01 11:59:01.128464,-1781	1454	475	-234	420	-130
2023-08-01 11:59:01.158049,-1546	1724	493	-290	327	21
2023-08-01 11:59:01.186851,-1159	3821	626	-198	364	0
2023-08-01 11:59:01.214874,-739	2884	504	-144	317	27
2023-08-01 11:59:01.243862,-1111	2495	446	42	434	-93
2023-08-01 11:59:01.272101,-783	2609	401	-167	274	-111
2023-08-01 11:59:01.305091,-1142	1778	555	-264	309	-143
2023-08-01 11:59:01.334050,-883	2869	599	-271	284	-32
2023-08-01 11:59:01.362768,-2450	2614	606	-231	315	-43
2023-08-01 11:59:01.390823,-1532	2130	486	-75	208	-24
2023-08-01 11:59:01.419582,-939	2885	486	25	281	-149
2023-08-01 11:59:01.452414,-1003	1877	383	-99	271	-144
