Timestamp,Data
2023-08-02 14:58:09.319137,84	14	-79
2023-08-02 14:58:12.688135,123	-36	4803	-165	-19	105
2023-08-02 14:58:12.712398,106	-3	4807	-147	-91	48
2023-08-02 14:58:12.741210,133	-34	4784	-73	-173	58
2023-08-02 14:58:12.766004,125	-43	4764	-98	-108	57
2023-08-02 14:58:12.794417,112	-44	4777	-141	-77	-58
2023-08-02 14:58:12.819003,83	-27	4770	-213	32	-71
2023-08-02 14:58:12.847838,50	-55	4808	-180	15	-40
2023-08-02 14:58:12.872323,96	-30	4771	-166	10	-34
2023-08-02 14:58:12.901222,132	-25	4767	-199	45	-28
2023-08-02 14:58:12.925559,141	-6	4757	-259	157	-15
2023-08-02 14:58:12.954049,119	-42	4817	-200	71	-33
2023-08-02 14:58:12.982543,138	-10	4784	-218	18	-124
2023-08-02 14:58:13.007432,132	-68	4806	-204	52	-54
2023-08-02 14:58:13.035924,13	-46	4793	-193	18	-43
2023-08-02 14:58:13.061032,-20	-39	4797	-182	11	-94
2023-08-02 14:58:13.089139,30	-48	4815	-161	-7	-100
2023-08-02 14:58:13.117704,42	-62	4803	-142	-36	-152
2023-08-02 14:58:13.146188,36	-62	4784	-134	-34	-194
2023-08-02 14:58:13.174923,123	-24	4795	-147	-67	-123
2023-08-02 14:58:13.199802,88	53	4798	-272	149	237
2023-08-02 14:58:13.223908,116	-7	4783	-190	53	306
2023-08-02 14:58:13.252407,122	-101	4820	-213	65	287
2023-08-02 14:58:13.281803,120	-76	4780	-204	67	250
2023-08-02 14:58:13.306683,170	-17	4800	-179	46	145
2023-08-02 14:58:13.334080,148	-14	4801	-166	-5	-26
2023-08-02 14:58:13.363887,86	-55	4783	-158	-21	-54
2023-08-02 14:58:13.388000,52	-53	4808	-160	-25	-48
2023-08-02 14:58:13.412918,98	-64	4795	-163	-3	-55
2023-08-02 14:58:13.441565,58	-12	4785	-167	23	-5
2023-08-02 14:58:13.461792,64	-45	4800	-182	37	6
2023-08-02 14:58:13.486894,48	-18	4807	-175	9	-39
2023-08-02 14:58:13.514768,85	-35	4798	-160	-30	-118
2023-08-02 14:58:13.544295,226	-67	4818	-93	-108	-229
2023-08-02 14:58:13.572429,259	13	4831	-209	-265	-231
2023-08-02 14:58:13.601293,311	8	4822	-88	-357	-2
2023-08-02 14:58:13.625410,206	14	4646	-165	-287	411
